"","Year","Month","Week","Day","ActiveEnergy","ReactiveEnergy","Kitchen","Laundry","EWAC"
"1",2007,1,1,1,45816.733329,2469.4333336,0,352,5880
"2",2007,1,1,2,21153.933333,3172.3666666,0,348,6562
"3",2007,1,1,3,16900.900008,3278.8000005,0,344,4765
"4",2007,1,1,4,54323.533339,3371.6999986,1051,7597,10896
"5",2007,1,1,5,45222.733314,2885.8999998,1483,379,7602
"6",2007,1,1,6,25139.633328,3203.1333341,1336,402,5678
"7",2007,1,1,7,40793.666668,4101.2333338,1987,8177,12810
"8",2007,1,2,8,37356,3459.4666663,0,467,17547
"9",2007,1,2,9,31150.900011,3454.1333331,1688,4267,9790
"10",2007,1,2,10,35913.333336,3807.533335,771,4456,11012
"11",2007,1,2,11,37586.566651,3833.6666661,1378,2170,12415
"12",2007,1,2,12,24354.933323,3319.0000007,0,439,8276
"13",2007,1,2,13,53113.566628,4845.6000008,7806,2975,11341
"14",2007,1,2,14,50183.966665,3790.5333348,1777,4215,12991
"15",2007,1,3,15,35811.30001,2914.3333338,1099,2239,15163
"16",2007,1,3,16,28106.733319,3090.4666656,2063,644,6583
"17",2007,1,3,17,47461.466682,3345.8666669,3500,5737,16064
"18",2007,1,3,18,30357.699992,2961.8666677,0,336,13491
"19",2007,1,3,19,24674.000008,2834.1999997,2103,330,7172
"20",2007,1,3,20,52228.866658,3972.7000008,4324,5222,11440
"21",2007,1,3,21,56787.700006,3828.9333327,10346,5567,11599
"22",2007,1,4,22,36341.566666,2810.7000001,1054,2983,11361
"23",2007,1,4,23,29627.33331,2304.666666,0,1064,5061
"24",2007,1,4,24,49797.566665,2967.6666662,3464,2480,11744
"25",2007,1,4,25,26605.733343,2402.6666671,1158,262,11239
"26",2007,1,4,26,26966.200009,2381.7000002,1163,261,8238
"27",2007,1,4,27,34067.866673,2470.7000008,1170,3896,12374
"28",2007,1,4,28,51539.166674,2560.1000003,3466,3997,12062
"29",2007,1,5,29,33044.39999,2761.5999991,1123,294,15254
"30",2007,1,5,30,28463.299987,3015.566667,1123,1424,8149
"31",2007,1,5,31,39395.866663,3099.799998,0,5950,15052
"32",2007,2,5,1,30412.666675,2504.3999999,1170,386,13145
"33",2007,2,5,2,27795.599998,2325.6999989,0,356,11338
"34",2007,2,5,3,67162.03334,4097.0666669,4746,4573,17834
"35",2007,2,5,4,59932.333349,3108.2333333,3391,4597,14472
"36",2007,2,6,5,27421.333346,2453.7999997,896,2564,7849
"37",2007,2,6,6,21224.666666,2376.0999988,1185,405,4517
"38",2007,2,6,7,38800.300008,2961.8000007,3299,3513,11986
"39",2007,2,6,8,30023.566648,2314.933333,2226,366,10157
"40",2007,2,6,9,27003.30002,2634.4333339,0,3045,9770
"41",2007,2,6,10,47155.466656,3216.2333332,5071,2831,14405
"42",2007,2,6,11,59520.466675,3405.2333342,2430,4765,13114
