"","Year","Month","ActiveEnergy","ReactiveEnergy","Kitchen","Laundry","EWAC"
"1",2007,1,1150287.166588,98716.0333358,56433,79274,329611
"2",2007,2,941582.966737,76362.133332,47584,64604,270308
"3",2007,3,981042.899928,85371.8666748,60769,104762,290361
"4",2007,4,608819.8672285,87023.05007045,42078,38417,189503
"5",2007,5,733481.200023,85814.9000209,75737,72132,229448
"6",2007,6,595358.466706,105375.9333366,59673,69944,188902
"7",2007,7,497248.900053,95312.166676,43052,55816,154825
"8",2007,8,568348.46625,83939.466665,36251,49713,225442
"9",2007,9,697997.899798,90733.6000004,52841,75279,226409
"10",2007,10,821335.43335,69533.1000193,43218,87914,256080
"11",2007,11,932037.366642,69517.2666819,50825,73666,299708
"12",2007,12,1210092.099871,82509.6666779,74090,82931,362423
"13",2008,1,1086230.6,65145.7666926,61761,62912,312192
"14",2008,2,822299.666597,60669.1000135,40231,56646,255970
"15",2008,3,926536.633406,75525.7666766,63110,79278,279688
"16",2008,4,803499.866722,89362.6666678,47080,70871,295678
"17",2008,5,762082.599937,114946.3999967,53084,58911,290622
"18",2008,6,715746.533379,109175.9666654,68728,63449,290103
"19",2008,7,591304.966739,109190.7666648,47313,44416,227228
"20",2008,8,205740.099502,95087.4666556,3873,22264,79685
"21",2008,9,711129.866551,89985.9000048,52376,44590,284282
"22",2008,10,846162.20001,78782.0000122,44093,63314,276618
"23",2008,11,998917.200195,72988.6666955,58067,55927,280735
"24",2008,12,949491.033446,68134.1000256,45109,39459,308729
"25",2009,1,1049258.633246,73277.6333539,74653,72952,329623
"26",2009,2,837615.433326,64399.766683,47098,50684,296200
"27",2009,3,912787.06669,77631.1000161,64691,48428,328733
"28",2009,4,821280.399992,88587.0000037,54506,52601,307840
"29",2009,5,753535.599999,88975.6999948,43570,50105,311049
"30",2009,6,627942.24989,98919.4166826,31362,31453.5,302934
"31",2009,7,459932.866878,124815.9000139,18226,42528,187936
"32",2009,8,488215.283358,139127.9833316,34023,38217,192509.5
"33",2009,9,710553.900045,110807.6666682,51602,46144,296615
"34",2009,10,851489.533262,97780.3666736,54728,53729,327505
"35",2009,11,917843.166548,91233.766678,60446,53473,335548
"36",2009,12,1015146.033262,96540.4666646,57801,53492,383945
"37",2010,1,1081335.734348,92450.5001174,57016,59697,425674.5
"38",2010,2,924616.866718,68838.0000032,49270,53592,411733
"39",2010,3,829760.100095,99457.7499944,35089,62899,325365.5
"40",2010,4,739641.100004,89890.5333469,38196,36476,336092
"41",2010,5,814902.833539,90908.4333601,48108,52376,364626
"42",2010,6,698124.500051,108083.5333357,65747,47679,306952
"43",2010,7,536506.766746,123114.833342,17704,34359,192912
"44",2010,8,462327.566713,91624.1666795,12499,34209,167415
"45",2010,9,713562.96656,81655.8333352,36865,32508,307612.5
"46",2010,10,865589.966721,102346.333355,48199,60252,315670
"47",2010,11,743306.466763,68811.8000076,46162,42282,247113
