"","Year","Week","ActiveEnergy","ReactiveEnergy","Kitchen","Laundry","EWAC"
"1",2007,1,249351.133319,22482.566667,5857,17599,54193
"2",2007,2,269659.266614,26509.9333368,13420,18989,83372
"3",2007,3,275427.766675,22948.3666672,23435,20075,81512
"4",2007,4,254945.43334,17898.2000007,11475,14943,72079
"5",2007,5,286206.200002,20912.3666631,11553,17580,95244
"6",2007,6,251149.100019,19362.5333335,15107,17489,71798
"7",2007,7,256422.933349,21433.8000025,14542,20471,72355
"8",2007,8,221918.800032,17949.4666661,8628,15747,62639
"9",2007,9,92507.399924,14336.0999965,1476,10699,24681
"10",2007,10,251535.499964,21447.4666718,19016,31182,66004
"11",2007,11,217003.000046,17945.2333373,16116,22775,60820
"12",2007,12,257495.999986,18548.3666654,17075,20566,82279
"13",2007,13,235723.033319,22051.500001,11715,25926,82813
"14",2007,14,204390.399967,19629.6333368,11032,15771,68183
"15",2007,15,83915.43334,18801.7000015,2876,5071,21501
"16",2007,16,148882.966598,22413.5000023,16704,6764,45763
"17",2007,17,114409.210970734,20266.4386737983,5623,4910,33416
"18",2007,18,151137.089715766,19599.5780546517,15519,8690,46655
"19",2007,19,164367.233283,21071.1000015,16276,17091,56782
"20",2007,20,172103.900023,20057.7333438,19776,16830,50348
"21",2007,21,169208.566661,18605.9333405,17641,21216,51520
"22",2007,22,164749.766668,17216.2333411,16695,18067,48905
"23",2007,23,160549.366657,26365.266668,18237,17354,50573
"24",2007,24,147570.533461,27502.3333321,15843,17513,45885
"25",2007,25,86057.033329,23330.5333325,3666,8582,26782
"26",2007,26,140996.5666,22852.1666677,13940,17969,46721
"27",2007,27,126740.899975,24793.7666642,12384,20924,37204
"28",2007,28,116826.833374,24235.0666751,7671,9334,42336
"29",2007,29,109270.066613,23860.1000022,13285,7829,33363
"30",2007,30,105980.900086,14961.1333338,5466,16993,31129
"31",2007,31,105975.199979,16354.3333394,7021,398,46536
"32",2007,32,135533.766575,14589.7999973,5409,12511,60541
"33",2007,33,117078.399736,16014.8666649,3613,10581,50208
"34",2007,34,140430.133299,24336.2999948,14163,18718,44542
"35",2007,35,146715.999995,25922.8666685,15432,9691,48257
"36",2007,36,154127.699876,21102.6333289,12704,20838,53095
"37",2007,37,140301.666676,20449.3000057,7072,12074,44591
"38",2007,38,150264.066553,20223.1333294,16500,12172,51023
"39",2007,39,197238.566712,20267.8000026,10455,28009,59161
"40",2007,40,199585.733348,18245.9000025,12732,29065,62154
"41",2007,41,193083.366694,16346.6000042,11446,21419,52771
"42",2007,42,200234.433283,16292.4333386,10662,16757,68548
"43",2007,43,184437.800016,13914.2000067,8378,13769,56687
"44",2007,44,109294.999996,11489.5333346,1346,13981,39160
"45",2007,45,226645.633307,19943.3000047,16269,11724,65313
"46",2007,46,250237.200003,16780.7666701,14437,18920,83825
"47",2007,47,222072.833319,15396.3666703,13409,15644,73064
"48",2007,48,269132.966694,20874.16667,16810,27569,82749
"49",2007,49,245462.566622,18669.6666657,16094,15232,73090
"50",2007,50,249559.46665,15853.3333341,10503,15614,77874
